,TF,TG
680,Sp5,Cdkn1a
681,Sp7,Vegfa
682,Sp8,Nr2f1
683,Sp9,Fgf8
684,Spdef,Sox17
685,Spen,Col2a1
686,Spi1,Tnf
687,Spib,P2ry10
688,Spic,Nfkb1
689,Srebf1,Thrsp
690,Srebf2,Srd5a2
691,Srf,Tgfb1i1
692,Srrt,Sox2
693,Sry,Wt1
694,Ssb,Lamb1
695,Stat1,Upp1
696,Stat2,Trp53
697,Stat3,Il10
698,Stat4,Ifngas1
699,Stat5a,Socs3
700,Stat5b,Slc10a1
701,Stat6,Zfp157
702,Sufu,Gli3
703,Suz12,Mir200b
704,Syt1,Myc
705,Taf12,Cyp24a1
706,Taf4b,Stra8
707,Taf9,Trp53
708,Tal1,Tfdp2
709,Tardbp,Ran
710,Tax1bp3,Myod1
711,Tbp,Prg2
712,Tbpl1,Tnp1
713,Tbr1,Auts2
714,Tbx1,Ywhae
715,Tbx18,Snai2
716,Tbx19,Pomc
717,Tbx2,Tyrp1
718,Tbx20,Tbx2
719,Tbx21,Ifngas1
720,Tbx3,Sp7
721,Tbx4,Shox2
722,Tbx5,Nppa
723,Tbx6,Myf5
724,Tcf12,Tcra
725,Tcf19,Ccne1
726,Tcf20,Mmp3
727,Tcf21,Sf1
728,Tcf3,Vcam1
729,Tcf4,Hnf1a
730,Tcf7,Runx2
731,Tcf7l2,Myod1
732,Tcfl5,Tcfl5
733,Tead2,Trp53
734,Tead4,Vegfb
735,Tef,Bik
736,Tfap2a,Vegfa
737,Tfap2b,Adipoq
738,Tfap2c,Sfrp1
739,Tfap2d,Pou4f3
740,Tfcp2,Tyms
741,Tfdp1,Trp53
742,Tfe3,Txnip
743,Tgfb1,Tbx21
744,Tgfb1i1,Tpt1
745,Thra,Jag1
746,Thrap3,Pparg
747,Thrb,Tshb
748,Tial1,Thy1
749,Tle2,Nkx6-1
750,Tle3,Nkx2-2
751,Tlr4,Csf3
752,Tlx3,Ret
753,Tnf,Mmp9
754,Tnfaip3,Ppara
755,Tob1,Ccnd1
756,Trim13,Ppig
757,Trim24,Stat1
758,Trim28,Zfx
759,Trim32,Ccl20
760,Trp53,Klf4
761,Trp53bp1,Hc1
762,Trp63,Vegfa
763,Trp73,Trp53
764,Trps1,Stat3
765,Trrap,Mitf
766,Tsg101,Mdm2
767,Tshz3,Myog
768,Ttf1,Sftpc
769,Ttf2,Tpo
770,Twist1,Zyx
771,Twist2,Srebf1
772,Ube2k,Nfe2l2
773,Usf1,Tnfaip3
774,Usf2,Spp1
775,Utf1,Tcf3
776,Vax2,Pax6
777,Vdr,Tnfsf11
778,Vezf1,Stmn1
779,Vhl,Tfam
780,Vsx2,Vsx1
781,Whsc1l1,Cyp17a1
782,Wnt1,Coro1a
783,Wnt5a,Ret
784,Wt1,Wnt4
785,Wwp1,Trp53
786,Wwtr1,Zeb1
787,Xbp1,Vegfa
788,Xpc,Cetn2
789,Xrcc5,Il2
790,Xrcc6,Il2
791,Ybx1,Slc2a3
792,Yy1,Zhx1
793,Zbtb16,Ddit4
794,Zbtb17,Slc11a1
795,Zbtb2,Trp53
796,Zbtb20,Sox9
797,Zbtb32,Ciita
798,Zbtb33,Zfp131
799,Zbtb38,Myog
800,Zbtb7a,Nfatc1
801,Zeb1,Trp73
802,Zeb2,Ocln
803,Zfp13,Mpv17l
804,Zfp143,Tcp1
805,Zfp148,Tph1
806,Zfp263,Col11a2
807,Zfp277,Cdkn2a
808,Zfp281,Nanog
809,Zfp335,Rest
810,Zfp36,Nfkb1
811,Zfp384,Nfkb1
812,Zfp385a,Trp53
813,Zfp410,Mmp1a
814,Zfp42,Tsix
815,Zfp423,Smad4
816,Zfp488,Olig1
817,Zfp513,Sp4
818,Zfp523,Tcp1
819,Zfp64,Hey1
820,Zfpm1,Ms4a2
821,Zfpm2,Sox9
822,Zhx3,Zhx2
823,Zic1,Atoh1
824,Zic2,Slc6a4
825,Zic3,Nanog
826,Zscan10,Pou5f1
